brand_name,generic_name,sku,unit,quantity,biologic_delivery
Cotellic,cobimetinib,183,mg,52,oral
Creon_Delayed-Release_capsules,pancrelipase,184,mg,82,oral
Cresemba_Capsule,isavuconazonium_sulfate,185,mg,11,oral
Cresemba_Injection,isavuconazonium_sulfate,186,mg,77,oral
Crinone,progesterone_gel,187,mg,60,oral
Crysvita,burosumab-twza_injection,188,mg,7,oral
Cuprimine_capsules,penicillamine,189,mg,40,oral
Cyclinex-1_Powder,Cyclinex-1_Powder,190,mg,21,oral
Cyclinex-2_Powder,Cyclinex-2_Powder,191,mg,41,intravenous injection
Cycloset_tablet,bromocriptine_mesylate_tablets,192,mg,0,suppository
Cyklokapron,tranexamic_acid,193,mg,32,oral
Cymbalta,duloxetine_hcl,194,mg,29,oral
Cyramza,ramucirumab_injection,195,mg,15,oral
Cystadane,betaine_anhydrous,196,mg,99,oral
Cystadrops_ophthalmic_solution,cysteamine_ophthalmic_solution,197,mg,61,oral
Cystagon,cysteamine_bitartrate),198,mg,49,oral
Cytomel,liothyronine_sodium,199,mg,72,oral
Cytotec,misoprostol,200,mg,14,oral
Cytra-K,potassium_citrate,201,mg,98,intravenous injection
Daliresp,roflumilast,202,mg,9,suppository
Dalvance_Vials,dalbavancin,203,mg,75,oral
Danyelza,naxitamab-gqgk,204,mg,29,oral
Daraprim_tablet,pyrimethamine,205,mg,52,oral
Darzalex,daratumumab,206,mg,34,oral
Darzelex_Faspro,"daratumumab_and_hyaluronidase-fihj,_Injection_for_subcutaneous_use",207,mg,98,oral
Daurismo,glasdegib_sodium,208,mg,87,oral
Daypro,oxaprozin,209,mg,20,oral
Dayvigo,lemborexant_tablet,210,mg,43,oral
Defitelio,Defibrotide_sodium,211,mg,79,intravenous injection
Delstrigo,"doravirine,_lamivudine,_and_tenofovir_disoproxil_fumarate",212,mg,71,suppository
Delzicol_DR_Capsules,mesalamine,213,mg,15,oral
Demser_capsules,metyrosine,214,mg,41,oral
Denavir,penciclovir,215,mg,41,oral
Depakote,divalproex,216,mg,90,oral
Depakote_ER_Tablets,divalproex_sodium_extended_release_tablets,217,mg,71,oral
Depo_Estradiol,estrodiol_cypionate_in_oil,218,mg,1,oral
Depo_Provera,medroxyprogesterone_contraceptive_injection,219,mg,99,oral
Depo-Medrol,sterile_methylprednisolone_acetate,220,mg,16,oral
Depo-subQ_Provera_104,medroxyprogesterone_acetate,221,mg,12,intravenous injection
Depo-Testosterone,testosterone_cypionate,222,mg,14,suppository
Descovy,emtricitabine/tenofovir_alafenamide,223,mg,11,oral
Desoxyn_tablet,methamphetamine_hydrochloride,224,mg,53,oral
Detachol,adhesive_remover,225,mg,92,oral
Detrol,tolterodine_tartrate_tablet,226,mg,7,oral
Detrol_LA,tolterodine_tartrate,227,mg,33,oral
Dexcom_G6_device,glucose_monitoring_system_device,228,mg,49,oral
Dexilant,dexlansoprazole,229,mg,73,oral
Dextenza,dexamethasone_ophthalmic_insert,230,mg,66,oral
Diflucan,fluconazole,231,mg,21,intravenous injection
Dilantin,phenytoin_sodium_capsule,232,mg,70,suppository
Dipentum,olsalazine_sodium_capsules,233,mg,0,oral
Dojolvi,triheptanoin_liquid;_oral,234,mg,7,oral
Doptelet,avatrombopag,235,mg,13,oral
Dovato,dolutegravir_and_lamivudine,236,mg,37,oral
Droxia,hydroxyurea,237,mg,34,oral
Duavee_Tablet,conjugated_estrogens/bazedoxifene,238,mg,77,oral
Duobrii,halobetasol_propionate_and_tazarotene,239,mg,69,oral
Duopa,carbidopa/levodopa_enteral_suspension,240,mg,19,oral
Dupixent,dupilumab_injection,241,mg,94,intravenous injection
Durolane,hyaluronic_acid_injection,242,mg,1,suppository
Durysta,bimatoprost_implant,243,mg,85,oral
Dymista_Nasal_Spray,azelastine/fluticasone_propionate,244,mg,7,oral
Dysport_Injection,abobotulinumtoxinA,245,mg,56,oral
Edarbi_Tablet,azilsartan_medoxomil,246,mg,48,oral
Edarbyclor_Tablet,azilartan_medoxomil/chlorthalidone,247,mg,40,oral
Edurant,rilpivirne,248,mg,27,oral
Effexor_XR,venlafaxine,249,mg,75,oral
Efudex,fluorouracil,250,mg,92,oral
EleCare,EleCare,251,mg,45,intravenous injection
EleCare_Jr.,medical_food,252,mg,85,suppository
Elelyso,taliglucerase_alfa_powder,253,mg,25,oral
Elidel,pimecrolimus,254,mg,91,oral
Eligard,leuprolide_acetate,255,mg,54,oral
Eliquis,apixaban,256,mg,15,oral
Elitek,rasburicase,257,mg,19,oral
Ellence,epirubicin_hcl,258,mg,61,oral
Elmiron,pentosan_polysulfate_sodium,259,mg,90,oral
Eloctate_Injection,antihemophilic_factor_recombinant_fc_fusion_protein,260,mg,22,oral
Elzonris,tagraxofusp-erzs_injection,261,mg,14,intravenous injection
Emcyt,estramustine_phosphate_sodium,262,mg,14,suppository
EMEND,aprepitant,263,mg,10,oral
Emflaza,deflazacort,264,mg,13,oral
Emgality_injection,galcanezumab-gnlm,265,mg,75,oral
Empaveli,pegcetacoplan,266,mg,0,oral
Empliciti,elotuzumab,267,mg,27,oral
EMSAM,selegiline_transdermal,268,mg,89,oral
Emtriva,emtricitabine,269,mg,50,oral
Emverm,mebendazole,270,mg,60,oral
Enbrel,etanercept,271,mg,25,intravenous injection
Enfamil,infant_formula,272,mg,86,suppository
Engerix-B,hepatitis_B_vaccine_(recombinant),273,mg,84,oral
Enhertu,fam-trastuzumab_deruxtecan-nxki,274,mg,39,oral
Enspryng_injection,satralizumab-mwge,275,mg,79,oral
Ensure,Ensure,276,mg,24,oral
Ensure_Plus,Ensure_Plus,277,mg,46,oral
Entresto,sacubitril/valsartan,278,mg,0,oral
Entyvio_Injection,vedolizumab,279,mg,87,oral
Envarsus_XR,tacrolimus_extended-release_tablets,280,mg,19,oral
Epclusa,sofosbuvir/velpatasvir_tablet,281,mg,98,intravenous injection
Epidiolex,cannabidiol,282,mg,37,suppository
Epinephrine_auto_injector_.15mg,epinephrine_auto_injector,283,mg,0,oral
EpiPen,epinephrine,284,mg,83,oral
EpiPen_Jr,epinephrine,285,mg,60,oral
Epivir,lamivudine,286,mg,3,oral
Eprontia,topiramate_solution,287,mg,71,oral
Equetro,carbamazepine,288,mg,34,oral
Eraxis,anidulafungin_IV,289,mg,82,oral
Erbitux,cetuximab,290,mg,70,oral
Erivedge,vismodegib,291,mg,7,intravenous injection
Erleada_Tablets,apalutamide,292,mg,41,suppository
Esbriet,pirfenidone,293,mg,61,oral
Esperoct_solution,antihemophilic_factor_recombinant_injection;_iv_lyophilized_powder,294,mg,16,oral
Estring,estradiol_vaginal_ring,295,mg,63,oral
Eucrisa,crisaborole_ointment,296,mg,7,oral
Euflexxa,sodium_hyaluronate,297,mg,77,oral
Evenity,romosozumab,298,mg,67,oral
Evista,raloxifene_tablet,299,mg,92,oral
Evkeeza,evinacumab-dgnb_injection,300,mg,94,oral
Evoclin,clindamycin_phosphate,301,mg,60,intravenous injection
Evomela,melphalan_injection,302,mg,77,suppository
Evrysdi,risdiplam,303,mg,6,oral
Exjade,deferasirox,304,mg,83,oral
Exkivity,mobocertinib,305,mg,7,oral
Exondys_51,eteplirsen_injection,306,mg,83,oral
Extavia,interferon_beta-1b,307,mg,42,oral
Eylea_injection,aflibercept,308,mg,10,oral
Famvir,famciclovir_tablet,309,mg,15,oral
Farxiga_Tablet,dapagliflozin,310,mg,25,oral
Fasenra,benralizumab,311,mg,96,intravenous injection
Fasenra_Pen,benralizumab,312,mg,83,suppository
Faslodex,fulvestrant,313,mg,95,oral
Feiba_VH_powder,coagulant_complex_inhibitor,314,mg,79,oral
Felbatol,felbamate,315,mg,34,oral
Feldene,piroxicam,316,mg,66,oral
Fensolvi,leuprolide_acetate,317,mg,1,oral
Feraheme_Injection,ferumoxytol,318,mg,18,oral
Ferriprox,deferiprone,319,mg,54,oral
Fetzima_Extended_Release_Capsules,levomilnacipran,320,mg,43,oral
Fiasp,insulin_aspart_injection,321,mg,44,intravenous injection
Fintepla,fenfluramine,322,mg,64,suppository
Firdapse,amifampridine_tablet,323,mg,34,oral
Flagyl,metronidazole,324,mg,71,oral
Flector_Patch_1.3%,diclofenac_epolamine_topical_patch,325,mg,94,oral
Fleqsuvy,baclofen_oral_suspension,326,mg,49,oral
Flexeril,Cyclobenzaprine,327,mg,77,oral
Flovent_Diskus_100mcg,fluticasone_propionate_inhalation_power,328,mg,80,oral
Flovent_Diskus_250_mcg,fluticasone_propionate_inhalation_power,329,mg,39,oral
Flovent_Diskus_50mcg,fluticasone_propionate_inhalation_power,330,mg,92,oral
Flovent_HFA_110_mcg,fluticasone_propionate_inhalation_aerosol,331,mg,86,intravenous injection
Flovent_HFA_220_mcg,fluticasone_propionate_inhalation_aerosol,332,mg,95,suppository
Flovent_HFA_44_mcg,fluticasone_propionate_inhalation_aerosol,333,mg,20,oral
Flumist_Quadrivalent,"Influenza_Vaccine_Live,_Intranasal",334,mg,19,oral
Folotyn,pralatrexate_injection,335,mg,54,oral
Forteo,teriparatide,336,mg,28,oral
Fosrenol,lanthanum_carbonate,337,mg,53,oral
Fotivda,tivozanib,338,mg,54,oral
Fragmin,dalteparin_sodium,339,mg,51,oral
Fulphila,pegfilgrastim-jmdb,340,mg,69,oral
Fuzeon,enfuvirtide,341,mg,9,intravenous injection
Fyarro_injection,sirolimus_albumin-bound_nanoparticles,342,mg,55,suppository
Fycompa_Tablet,perampanel,343,mg,70,oral
Fylnetra,pegfilgrastim-pbbk,344,mg,51,oral
Galafold,migalastat,345,mg,79,oral
Galzin,zinc_acetate,346,mg,52,oral
Gamifant,emapalumab-lzsg,347,mg,70,oral
Gammaplex_iv,immune_globulin;_intravenous_iv,348,mg,62,oral
Gamunex-C,immune_globulin;_intravenous,349,mg,93,oral
Gardasil_9,human_papillomavirus_9valent_recombinant,350,mg,7,oral
Gavreto,pralsetinib,351,mg,53,intravenous injection
Gazyva,obinutuzumab,352,mg,16,suppository
Gelnique,oxybutynin_chloride,353,mg,82,oral
Gelsyn-3,3_injection_hyaluronic_acid,354,mg,3,oral
Gengraf_Capsules,"cyclosporine_capsules,_USP_modified",355,mg,60,oral
Genotropin,somatropin,356,mg,23,oral
Genvoya,elvitegravir/cobicistat/emtricitabine/tenofovir_alafenamide,357,mg,76,oral
Gilenya,fingolimod,358,mg,72,oral
Gilotrif_Tablet,afatinib,359,mg,18,oral
Gimoti,metoclopramide,360,mg,9,oral
Givlaari,givosiran,361,mg,44,intravenous injection
Gleevec,imatinib_mesylate,362,mg,47,suppository
Gleostine_capsule,lomustine,363,mg,88,oral
Gliadel_Wafer,polifeprosan_20_with_carmustine_implant,364,mg,79,oral
GlucaGen_Hypokit,glucagon_(rDNA)_for_injection,365,mg,93,oral
Glucerna_1.0_Cal,glucerna,366,mg,28,oral
Glucerna_1.2_Cal,Glucerna,367,mg,69,oral
Glucerna_1.5_Cal,glucerna,368,mg,81,oral
Glucerna_Shake,Glucerna_Shake,369,mg,97,oral
Glucotrol,glipizide,370,mg,21,oral
Glutarex-1_Powder,Glutarex-1_Powder,371,mg,61,intravenous injection
Glutarex-2_Powder,Glutarex-2_Powder,372,mg,73,suppository
Glynase_PresTab,micronized_glyburide,373,mg,21,oral
Glyxambi_Tablet,empagliflozin/linagliptin,374,mg,42,oral
Gocovri,amantadine;_extended_release_capsule,375,mg,11,oral
Granix_Injection,tbo-filgrastim,376,mg,74,oral
Gvoke_PFS,glucagon_injection,377,mg,73,oral
Haegarda,C1_esterase_inhibitor_human_injection;_subcutaneous,378,mg,68,oral
Halaven_Injection,eribulin_mesylate,379,mg,90,oral
Halcion,triazolam,380,mg,56,oral
Harvoni_tablet,ledipasvir/sofosbuvir,381,mg,17,intravenous injection
Hemabate,"carboprost_tromethamine,USP",382,mg,63,suppository
Hemady,dexamethasone_tablet,383,mg,45,oral
Hemlibra,emicizumab-kxwh,384,mg,47,oral
Hemofil-M_injection,antihemophilic_factor_human,385,mg,10,oral
Herceptin,trastuzumab,386,mg,17,oral
Herceptin_Hylecta,trastuzumab_and_hyaluronidase-oysk,387,mg,44,oral
Herzuma,trastuzumab-pkrb,388,mg,30,oral
Hetlioz,tasimelteon_capsule,389,mg,9,oral
Hi-Cal_Drink,nutritional_supplement,390,mg,82,oral
Hizentra_vial_20%,immune_globulin_subcutaneous_(human),391,mg,0,intravenous injection
Hominex-1_Powder,Hominex-1_Powder,392,mg,71,suppository
Hominex-2_Powder,Hominex-2_Powder,393,mg,64,oral
Horizant,gabapentin_enacarbil,394,mg,66,oral
Humalog_Injection,insulin_lispro_injection,395,mg,62,oral
Humalog_KwikPen,insulin_lispro_injection,396,mg,60,oral
Humalog_KwikPen_Mix_50/50,insulin_lispro_injection_(rDNA),397,mg,75,oral
Humalog_KwikPen_Mix_75/25,insulin_lispro_injection_(rDNA),398,mg,60,oral
Humalog_Mix_50/50,"50%_Insulin_Lispro_Protamine_Suspension,_50%_Insulin_Lispro_Injection_(rDNA)",399,mg,90,oral
Humalog_Mix_75/25,human_insulin_lispro_(rDNA),400,mg,3,oral
Humate-P,antihemophilic_factor/von_willebrand_factor_complex_(Human),401,mg,73,intravenous injection
HUMIRA,adalimumab,402,mg,17,suppository
Humulin_70/30,isophane_human_insulin_(rDNA);_human_insulin_(rDNA),403,mg,61,oral
Humulin_N_Injection,NPH_human_insulin_(rDNA),404,mg,40,oral
Humulin_R_Injection,Regular_human_insulin_(rDNA),405,mg,58,oral
Humulin_R_U-500_Injection;_Concentrated,regular_insulin_human_[rDNA_Origin],406,mg,63,oral
Hyalgan,hyaluronate_sodium,407,mg,29,oral
Hycamtin,topotecan,408,mg,85,oral
Hycamtin_injection,topotecan_HCl,409,mg,50,oral
HyperHEP_B,hepatitis_B_immune_globulin_human_injection,410,mg,11,oral
HyperRAB,rabies_immune_globulin_human_injection,411,mg,79,intravenous injection
HyperTET,tetanus_immune_globulin_human_injection,412,mg,68,suppository
I-Valex-1_Powder,I-Valex-1_Powder,413,mg,0,oral
I-Valex-2_Powder,I-Valex-2_Powder,414,mg,93,oral
Ibrance,palbociclib,415,mg,48,oral
Iclusig,ponatinib,416,mg,42,oral
Idamycin,idarubicin_hcl,417,mg,16,oral
Idelvion,"coagulation_factor_IX_(recombinant),_albumin_fusion_protein",418,mg,27,oral
Idhifa,enasidenib,419,mg,15,oral
Ilaris,canakinumab,420,mg,24,oral
Ilumya,tildrakizumab-asmn,421,mg,98,intravenous injection
Iluvien,fluocinolone_acetonide_intravitreal_implant,422,mg,86,suppository
Imbruvica,ibrutinib,423,mg,24,oral
Imcivree,setmelanotide_injection;_subcutaneous,424,mg,14,oral
Imfinzi,durvalumab,425,mg,54,oral
Imitrex_(Nasal_Spray),sumatriptan_succinate,426,mg,12,oral
Imjudo,tremelimumab-actl,427,mg,42,oral
Imlygic,talimogene_laherparepvec,428,mg,10,oral
Imovax,rabies_vaccine,429,mg,11,oral
Impeklo,clobetasol_propionate,430,mg,1,oral
Inbrija,levodopa_inhalation_powder,431,mg,67,intravenous injection
Increlex_Injection,mecasermin,432,mg,51,suppository
Incruse_Ellipta,umeclidinium_inhalation_powder,433,mg,33,oral
InFed,infed,434,mg,13,oral
Inflectra,infliximab-dyyb,435,mg,82,oral
Ingrezza,valbenazine,436,mg,69,oral
Injectafer,ferric_carboxymaltose_injection,437,mg,42,oral
Inlyta,axitinib,438,mg,5,oral
Inqovi,decitabine_and_cedazuridine,439,mg,48,oral
Inrebic,fedratinib,440,mg,55,oral
Inspra,eplerenone,441,mg,62,intravenous injection
Intelence,etravirine,442,mg,63,suppository
Intuniv_Extended_Release_Tablets,guanfacine,443,mg,8,oral
Invega_Hafyera,paliperidone_palmitate,444,mg,37,oral
Invega_Sustenna,paliperidone_palmitate,445,mg,27,oral
Invega_Trinza,paliperidone_palmitate,446,mg,54,oral
Invokamet,canagliflozin-metformin,447,mg,21,oral
Invokamet_XR,canagliflozin/metformin_HCI,448,mg,23,oral
Invokana,canagliflozin,449,mg,29,oral
Iressa,gefitinib,450,mg,55,oral
Isentress,raltegravir,451,mg,89,intravenous injection
Isentress_HD_tablet,raltegravir,452,mg,30,suppository
Istodax_injection,romidepsin,453,mg,19,oral
Isturisa_tablet,osilodrostat,454,mg,50,oral
Ixinity_injection,coagulation_factor_IX_(recombinant),455,mg,35,oral
Jadenu_Sprinkle_granules,deferasirox,456,mg,83,oral
Jadenu_Tablet,deferasirox,457,mg,11,oral
Jakafi_Tablet,ruxolitinib,458,mg,80,oral
Janumet,sitagliptin/metformin_HCL,459,mg,68,oral
Janumet_XR,sitagliptin/metformia_HCI_extended_-release,460,mg,69,oral
Januvia,sitagliptin_phosphate,461,mg,14,intravenous injection
Jardiance_Tablet,empagliflozin,462,mg,48,suppository
Jaypirca,pirtobrutinib,463,mg,63,oral
Jelmyto,mitomycin,464,mg,98,oral
Jemperl,dostarlimab,465,mg,25,oral
Jentadueto_tablet,linagliptin/metformin_HCI,466,mg,36,oral
Jentadueto_XR,linagliptin_and_metformin_hydrochloride_extended-release,467,mg,14,oral
Jevity_1_Cal,Jevity_1_Cal,468,mg,12,oral
